"region","state","city","state_code","city_code","health_region_code","health_region","population"
"Centro-Oeste","Mato Grosso do Sul","Alcinópolis","50","500025","50001","Campo Grande","5343"
"Centro-Oeste","Mato Grosso do Sul","Amambai","50","500060","50003","Dourados","39396"
"Centro-Oeste","Mato Grosso do Sul","Bataguassu","50","500190","50004","Três Lagoas","23024"
"Centro-Oeste","Mato Grosso do Sul","Batayporã","50","500200","50003","Dourados","11329"
"Centro-Oeste","Mato Grosso do Sul","Bela Vista","50","500210","50001","Campo Grande","24629"
"Centro-Oeste","Mato Grosso do Sul","Bonito","50","500220","50001","Campo Grande","21976"
"Centro-Oeste","Mato Grosso do Sul","Brasilândia","50","500230","50004","Três Lagoas","11872"
"Centro-Oeste","Mato Grosso do Sul","Campo Grande","50","500270","50001","Campo Grande","895982"
"Centro-Oeste","Mato Grosso do Sul","Chapadão do Sul","50","500295","50001","Campo Grande","25218"
"Centro-Oeste","Mato Grosso do Sul","Corumbá","50","500320","50002","Corumbá","111435"
